stock_level_units,storage_duration_days,product_category,product_value_usd,storage_type,inventory_turnover,insurance_rate_percent,obsolescence_risk,storage_rent_usd_per_month,handling_cost_per_unit,security_level,seasonality,supplier_reliability,holding_cost_usd
37134.0,200.0,Pharmaceuticals,1288.8420585039962,Warehouse,4.6297456223147995,1.6463474986483821,Low,3.599629489057609,3.908853046020116,Standard,Seasonal,High,23536.7519375314
15927.0,176.0,Clothing,1777.1543698289527,Refrigerated,,2.0822179280159565,Medium,7.968080730110298,4.939565587731834,Basic,Non-Seasonal,Low,40248.11478296986
26648.0,185.0,Electronics,2321.251594913132,Refrigerated,,1.6056048779233907,Medium,8.59059113162921,,Basic,High Seasonality,High,32728.461542891542
21846.0,296.0,Food,4626.565421509759,Refrigerated,11.783884582695634,0.6796495782321141,Medium,2.241784330983502,1.649406571610923,Maximum,Non-Seasonal,High,9568.076377815854
36756.0,135.0,Pharmaceuticals,4386.501425214034,Refrigerated,5.014828271589021,1.5537549609062522,Medium,,0.25135047197501803,Standard,Non-Seasonal,Medium,13277.708549980469
6609.0,300.0,Automotive,3491.6742750344993,,3.088867964938385,2.1871469454136356,Medium,2.0008678961687063,3.350960983896211,Maximum,High Seasonality,,29836.751816687287
34983.0,207.0,Clothing,4706.696273659086,Outdoor,1.486004138245209,,High,4.728086065916071,4.722093763181536,High,High Seasonality,High,15992.09035675959
37066.0,133.0,,1115.8470567374059,Refrigerated,4.639019165726218,1.1877768935145139,Low,5.298550117668342,0.5230767664089276,Basic,Non-Seasonal,Medium,10978.196452922026
20257.0,223.0,Automotive,3223.58712160084,Outdoor,8.102918064733366,1.61722440173863,Low,7.0372512767979885,1.6155548226438476,Standard,Non-Seasonal,Low,10784.096108039961
37028.0,190.0,Electronics,2682.9100828436663,,5.469217299828677,0.6309784791445154,Low,5.812103518698923,4.901753884165706,Basic,High Seasonality,Medium,
45933.0,268.0,Automotive,4190.666970127835,Outdoor,4.882611525131357,0.8091227276261338,Medium,1.5302893692537152,0.26377112718207013,Maximum,Non-Seasonal,Low,1813.919019890615
2804.0,295.0,Automotive,3603.735655492919,,1.2579665042530976,2.0598188869604535,Medium,7.137077030186442,4.050961279690495,High,High Seasonality,Low,47043.17152445743
14398.0,320.0,Food,465.4191462800185,Refrigerated,1.0709812068488098,2.429014715817653,Medium,7.692785353891751,,High,Non-Seasonal,Low,12779.041243706368
26662.0,274.0,Food,3766.246178308715,Climate Controlled,8.368742536487446,1.1602788422712824,High,3.8189803547175982,2.9876563790248816,Maximum,High Seasonality,High,28620.17937825535
,230.0,Food,4859.2047636441275,Warehouse,4.521865520988584,1.1875634438358542,Medium,9.473700296823106,3.4643586970975515,Basic,Seasonal,Low,12365.570594506347
,148.0,Clothing,518.1134959058193,Refrigerated,4.975727943016828,2.3998992939739345,Low,9.362633507428741,3.0283573084677435,Basic,High Seasonality,Low,19413.32004513799
42228.0,181.0,Electronics,2035.2196400818468,Refrigerated,7.431091709908804,1.514491174500252,High,6.592531958710001,3.358644779039824,Maximum,High Seasonality,Low,32386.99581216876
4975.0,33.0,Food,4886.269303759767,Climate Controlled,9.728596339234716,2.1871164642668233,High,7.929638280350641,0.3475981758624922,Maximum,Seasonal,Low,2253.5545821476285
40331.0,102.0,Food,1735.011663870597,Outdoor,4.910212959936935,2.8079375618567624,Medium,0.7701351526178939,2.2322709932534734,High,High Seasonality,Medium,41429.47976283158
48866.0,213.0,Automotive,1483.4881890651818,Refrigerated,1.3717115214641296,1.9045642952794377,Low,9.74422628853666,2.046320848043348,High,Seasonal,Low,6350.4186063910975
27048.0,362.0,Clothing,313.60745789360766,Warehouse,9.463265182644136,2.0980365318434053,Low,1.2642050832111664,3.7262300820681404,High,Non-Seasonal,Medium,38855.80668091375
29707.0,215.0,Automotive,3694.712661253533,Climate Controlled,1.8635547210889543,2.5467497813820805,High,2.4730826679481117,4.813766814333848,Maximum,High Seasonality,Low,33834.73072550061
41480.0,42.0,Clothing,4311.897677915911,Outdoor,5.055542799238338,0.9803371676747306,,0.5094447342858838,0.6761650456334254,High,High Seasonality,Low,27906.10097805836
49712.0,113.0,Clothing,4436.750284661461,Warehouse,11.339782712738113,1.1589976363607644,Low,2.44886582824859,0.9066623940322607,Basic,Seasonal,Low,22952.78931637352
16178.0,124.0,Pharmaceuticals,4338.604607476603,Refrigerated,5.764090049568284,2.2312157604857563,High,5.695111379927618,0.8486589357902234,Basic,Non-Seasonal,High,6304.169039186826
29614.0,161.0,Automotive,1802.8682558703294,Climate Controlled,8.991525533495102,0.8660101300057955,Low,5.876351312242961,4.953867973738561,Basic,Non-Seasonal,Low,46490.0304560875
34304.0,185.0,Automotive,3106.6076536643645,Refrigerated,3.7029307933641937,1.7017312469392192,High,9.64691472839513,4.277972624097027,Standard,High Seasonality,Medium,
15227.0,134.0,Clothing,1286.6823887516005,Refrigerated,11.875481491807045,0.5217182716671196,Medium,7.9535935827884865,2.9098002296344956,Basic,Seasonal,Low,6836.2376464585395
15678.0,332.0,Automotive,911.4192046299081,Climate Controlled,7.954567978149375,1.017873816312856,High,6.497300739238506,2.582713559517663,Maximum,Seasonal,High,26337.772723835667
1653.0,329.0,Food,1588.4917905688592,,1.6868856894876967,2.171007405716475,High,6.840021134788004,2.272563210987964,High,Seasonal,Low,9547.004717772623
48466.0,166.0,Automotive,774.3609466326602,Refrigerated,11.764187786574148,1.6322265662690536,Medium,8.15290848320393,1.0150328271089153,High,Seasonal,High,14002.819515523157
6806.0,307.0,Clothing,814.5547322492607,Refrigerated,7.33653356073008,1.374236241702744,Medium,9.749407031986978,0.36260077863363327,High,Seasonal,Low,49751.7849547484
45012.0,165.0,Pharmaceuticals,829.2551106220615,Outdoor,4.214468947545531,0.504270141461688,Medium,3.985974873774144,1.2089817957274525,Basic,Seasonal,Medium,29757.798219860477
6703.0,272.0,Clothing,1741.4877817284928,Outdoor,7.99595364921282,2.7294893088828096,Medium,5.3834425439259865,2.7648249995380456,Maximum,High Seasonality,Low,41995.35198682015
33254.0,338.0,Pharmaceuticals,1866.8156171077603,Warehouse,8.037666380362142,2.423719574373403,Medium,7.962713183585658,1.2135481812838125,Maximum,Non-Seasonal,Low,41618.81867018276
28747.0,256.0,Pharmaceuticals,1149.2026334443901,Refrigerated,4.558892245480237,1.7033497580339043,High,6.231615856388058,3.0234028315514223,High,High Seasonality,High,6404.020274852064
35928.0,187.0,Pharmaceuticals,,Refrigerated,2.7374066235691576,,Low,5.644339345659152,4.89892027265558,Basic,Seasonal,Low,34075.12970107812
47884.0,362.0,Automotive,2915.984198000701,,4.142156877454883,2.8775491817579484,Medium,1.2290422294367613,1.4105760801282514,High,Non-Seasonal,High,19642.01965432607
42479.0,22.0,Automotive,3555.552099175957,Climate Controlled,8.256653369743303,1.0984649255080803,High,3.0831199996247887,,Maximum,High Seasonality,Medium,37234.9688519329
13698.0,86.0,Automotive,4297.845982846136,Refrigerated,3.3175400347438306,0.9798070608814292,Low,4.022011566062377,1.5158083689715136,Standard,,Medium,37532.39940285879
15453.0,318.0,Pharmaceuticals,1217.9015054468402,Climate Controlled,11.926216600048283,2.53182391184833,Medium,5.546065941911945,1.0119889009303566,Standard,High Seasonality,Low,13699.137809146448
12552.0,163.0,Food,1053.7249945636463,Refrigerated,5.297878770390725,1.0322128952494198,High,3.4713782746323467,2.075672537335734,High,Seasonal,Medium,28821.87601360323
5710.0,22.0,Automotive,97.83298150860584,Refrigerated,2.6095834775831372,2.44841717380432,Medium,1.7370664305569514,2.5632037689253715,High,Non-Seasonal,Low,44677.65558223541
,,Clothing,4376.69324039058,Refrigerated,5.223343933004839,1.5914707829461079,Low,6.94729241034232,2.668955148384097,Basic,Seasonal,Medium,25170.890253111353
29498.0,140.0,Automotive,299.3152358595093,Outdoor,10.564607732818626,2.472444410513406,High,4.798464998283768,0.19861835617599635,Basic,High Seasonality,,44458.75777719338
11339.0,235.0,Pharmaceuticals,1831.028611861059,,11.823872273298775,1.2100383213194421,Medium,5.417019880256945,2.6098984803613554,Basic,High Seasonality,High,15854.099893829669
16179.0,158.0,Clothing,2164.464489211397,Outdoor,11.449356041547006,1.4384464910579253,High,6.558243860302319,2.8936975517555146,High,Non-Seasonal,Low,2690.293920657151
20403.0,82.0,Pharmaceuticals,,Climate Controlled,3.4485972103115285,2.806485951747936,Medium,7.440203255620491,4.573304498731419,Maximum,High Seasonality,,45995.227245567534
1469.0,344.0,Pharmaceuticals,3536.7859488296367,Refrigerated,3.5716060824543856,1.6793098604818189,Low,4.40011589367225,0.4343121774723865,Maximum,Non-Seasonal,High,21869.413060269348
17078.0,109.0,Pharmaceuticals,2909.9945419654364,Warehouse,8.23576283324731,0.860209683717345,,2.6065279115282873,3.2859940058385386,Basic,Non-Seasonal,High,5929.477551861425
12394.0,248.0,Electronics,612.2942666389937,Outdoor,9.74769561238519,1.6049005403174554,High,5.5925408726385895,2.3366387750489572,Maximum,Seasonal,Medium,18024.82415151681
13556.0,,Food,2401.7895919701587,Climate Controlled,8.018447428203189,0.657190446181811,Low,1.2418367994312218,4.786137347348288,High,High Seasonality,High,39130.23278653319
8475.0,227.0,Automotive,3183.8214420796253,Outdoor,9.194059156374564,1.7601755377368675,Medium,1.3543775613148232,1.025114683344734,Standard,High Seasonality,Low,28995.20239395238
14656.0,132.0,Pharmaceuticals,3948.724017442967,Outdoor,7.245173703345315,1.948054425803449,High,3.411240957109421,1.6483485932826942,High,High Seasonality,Medium,47045.57816842111
49976.0,181.0,Pharmaceuticals,1362.146214509526,Warehouse,6.870818435811779,,High,1.179097129220232,4.811198713554292,Maximum,Seasonal,,49398.81077171271
18702.0,151.0,Electronics,2441.9164445911174,Refrigerated,4.130004808989266,1.280635678086528,Medium,8.882139749946345,0.1681189530632754,Maximum,High Seasonality,Low,18359.38346674354
12239.0,77.0,,1937.2127096756965,Outdoor,11.966199857780705,,High,,4.0030172346530835,Standard,High Seasonality,Low,44114.402975579775
30348.0,72.0,Clothing,954.1531465617369,Warehouse,8.29973699716242,2.7644301903096338,,4.138395625080394,3.403074647129109,Maximum,Non-Seasonal,Medium,47891.81078693123
33979.0,130.0,Food,1576.8211390681956,Refrigerated,5.77532933157198,1.5122077807720524,Medium,5.83752934968528,2.97984286171431,High,Non-Seasonal,Low,10187.776015075404
36365.0,173.0,Automotive,2086.9579858797797,Outdoor,9.328398875763636,0.7375687511449656,High,4.433897579572341,2.7717914870263307,Standard,Seasonal,High,45593.34928695146
13507.0,,Clothing,905.6533110800933,Climate Controlled,7.510168922637304,2.587415231331609,Medium,5.124621121389763,3.507598654674728,Standard,Non-Seasonal,Low,7593.721989004232
,361.0,Automotive,804.4632737426325,Warehouse,2.135201317267856,1.747169513085945,High,1.7320980627837335,3.96840948639361,Maximum,Non-Seasonal,High,26140.72384923251
2296.0,171.0,Clothing,135.7158950041218,Outdoor,10.237760449211207,1.9953795482507455,Low,5.814033165788409,0.10154139994398806,Maximum,Non-Seasonal,,40450.10325620682
1657.0,221.0,Clothing,2547.0456990548855,Outdoor,5.824920129399494,2.5774491885183664,Low,4.566524015928688,0.29007873326854083,Basic,High Seasonality,Low,17921.819919822025
42600.0,204.0,Pharmaceuticals,958.0673213218317,Outdoor,2.8914083763658134,2.8886065190172197,High,4.599498617080257,1.5484531907382835,Maximum,Non-Seasonal,Low,7924.762995298761
6849.0,37.0,Pharmaceuticals,4146.362479541799,Refrigerated,5.162268604460143,2.835643187532982,Low,9.320456419090997,1.282456510374667,High,High Seasonality,High,16120.29362454202
45608.0,316.0,Pharmaceuticals,3273.0766746314157,Outdoor,2.7389217464465263,0.6310900969069423,High,8.92436530609313,1.107859518973652,Maximum,Non-Seasonal,Medium,29023.584763837935
11768.0,7.0,Automotive,657.9164104572319,Warehouse,6.122729909456774,1.6402238146887953,Low,4.782648072619125,1.5021767204830498,High,Non-Seasonal,High,18657.551746822
11051.0,10.0,Food,2394.9073573293404,Refrigerated,6.619564207546817,2.720031412420365,High,4.095097410539064,,Maximum,Non-Seasonal,High,38585.77716651044
24233.0,43.0,Pharmaceuticals,4296.788668863461,Warehouse,9.864136137722577,2.6590812646148776,High,7.289014016594925,1.1941208176439533,High,Non-Seasonal,Medium,34913.87882234129
30555.0,197.0,Electronics,2174.92581636811,Refrigerated,6.316484218645903,2.9234818699232057,High,8.410740033782114,1.6013179725080835,High,Non-Seasonal,Low,36700.12413677073
3876.0,190.0,Electronics,3987.8514347114883,Outdoor,6.10301831150484,2.563233599680017,High,4.92801405968806,2.29193568589268,Basic,Non-Seasonal,High,30483.725530098956
,349.0,Electronics,2929.9631728255363,Climate Controlled,,1.4644547855925931,Low,,3.3092756473425577,Standard,Non-Seasonal,Low,5068.1456822356095
29575.0,99.0,Food,742.0470256918871,Climate Controlled,2.8082988405834324,1.7050530541082498,High,0.7597301685895348,4.493837135304269,Basic,Seasonal,High,47934.702279608005
,124.0,Pharmaceuticals,467.7012839551695,Refrigerated,2.5707899870126423,2.967040463293459,Low,0.6629757148972681,4.768416149580363,Maximum,High Seasonality,,10297.054858001637
7051.0,272.0,Pharmaceuticals,1223.4882090442864,Outdoor,5.450068152788167,1.3148867853423463,High,7.600994428109239,1.7973161401134017,Basic,Seasonal,Low,236.97867508105915
46188.0,132.0,Automotive,2272.044150448997,,11.67309749909615,2.892600836495464,Medium,1.2877084566855592,0.5399673652918573,Basic,Non-Seasonal,Low,44774.95205254976
27728.0,265.0,Electronics,4954.23558138854,Outdoor,6.149788109130383,0.6570811719798937,Medium,9.759094163592971,3.5295074932768697,High,High Seasonality,High,43603.96515673602
46659.0,363.0,Automotive,4887.511209694777,Refrigerated,5.8717589632951235,1.7780249510735882,Low,9.068181009714042,2.4925929531659246,Maximum,,Low,
44044.0,278.0,Electronics,3891.879154755794,Climate Controlled,3.2716984180277784,2.1882150064486923,Medium,3.556944275302314,4.869959645726705,Standard,High Seasonality,,19410.90062875388
42474.0,275.0,Food,3970.899341962064,Warehouse,7.5270996713201805,0.7853876012537199,High,1.243720075374584,4.000665090370876,Standard,Seasonal,Medium,47946.22934840723
5632.0,215.0,Clothing,3760.240049056444,Climate Controlled,8.321484932016642,,Low,1.0155879490822999,1.355452474409838,,Non-Seasonal,,41049.503776610014
24786.0,8.0,Clothing,2270.538928768162,Climate Controlled,4.8231140471882545,2.2752794057436327,Medium,1.3832834498067472,3.9108706758156915,Standard,Non-Seasonal,Medium,
48317.0,264.0,Clothing,4600.743653317379,Climate Controlled,8.4562722535686,2.451832129054795,High,2.639050225382456,0.6775600363195295,Standard,,High,1848.1028504406931
18747.0,61.0,Clothing,4187.558310330933,,8.330145034988462,2.1173708191956044,Low,6.342268411968505,4.3189391622320095,Standard,Non-Seasonal,High,
6812.0,4.0,Automotive,4156.420291723253,Outdoor,10.001502267453422,,High,,2.8170617769666677,High,High Seasonality,High,30992.568638068744
22058.0,147.0,Food,2812.559065551919,Refrigerated,5.565395122741927,2.0443572951634144,Low,3.5055006013602283,1.0148246460943946,Basic,Seasonal,High,8048.61919499819
,123.0,Pharmaceuticals,791.8978585069927,Outdoor,11.964594236505341,1.2217078644039743,Low,6.129624033461475,3.6633131351492483,High,Seasonal,Medium,34454.74066102139
20016.0,260.0,Clothing,394.21080638746696,,7.612554852538653,1.9387087956611389,High,8.284003110284965,0.6782430442517163,Standard,Seasonal,Low,25167.897392541407
13546.0,44.0,,4158.258414741425,Refrigerated,5.354728050162158,2.484939061696938,High,9.832940688676192,0.3352327347491192,Standard,Non-Seasonal,Medium,36167.4756023093
48012.0,52.0,Pharmaceuticals,3761.9994060172558,Warehouse,2.9607750142025884,,Low,6.125465634376021,2.3176189224979273,Maximum,Seasonal,High,21181.965990527216
14227.0,57.0,Automotive,1812.0991267241448,Climate Controlled,9.317399229054706,1.1097793727349443,Medium,6.466159762504373,2.3131919175340445,Standard,High Seasonality,High,38054.84517043129
31438.0,344.0,Food,1669.1011658693394,Climate Controlled,10.695937379864219,1.5336608308419637,High,8.119430952851,2.3432293027214053,Standard,Non-Seasonal,High,28898.959472388415
673.0,142.0,Food,4858.218049187001,Warehouse,2.1737458672516423,1.2035377782144638,Medium,2.712403078504885,4.274411721137132,Basic,Non-Seasonal,,47442.636429828104
17016.0,102.0,Food,112.11447570290012,Climate Controlled,3.91248649158702,1.8736606838541185,,2.045603934702571,2.106610312279077,Standard,,High,23747.986622680823
41774.0,279.0,Clothing,1851.028683758557,Outdoor,4.535023879433364,0.821406401593475,Medium,4.958767283789878,4.344835419818502,,High Seasonality,Low,8106.5968730137065
,120.0,Automotive,957.4102114767094,Refrigerated,1.6598332324671872,2.920848276664305,Medium,2.551099671678655,1.5572426774798374,Standard,Seasonal,Low,41583.62959568188
46201.0,267.0,Clothing,3889.2922457010845,Warehouse,10.620576749802982,2.103141121896598,Medium,3.9071482416524965,3.156183425094391,,Seasonal,High,38389.55032078879
48245.0,324.0,Pharmaceuticals,353.74253583831177,Outdoor,8.45215824257549,,High,9.509143034661468,2.395366225915377,Maximum,Non-Seasonal,Low,15665.882917608931
23015.0,46.0,Clothing,4366.988015247566,Warehouse,9.801359429413285,0.6297995928197948,High,6.415322883705471,2.113035603415533,,Non-Seasonal,Low,1975.6975465536996
29917.0,165.0,Clothing,2460.7450841736127,Warehouse,9.965499979859835,0.8547480136023382,Medium,6.299712687057056,1.6918400356851646,Standard,Non-Seasonal,Medium,32973.95827195269
10163.0,140.0,Automotive,1836.72563814057,Outdoor,11.621303187458759,2.031484355105882,Low,,2.3258622871813626,High,High Seasonality,Medium,14700.995510553745
9897.0,179.0,Pharmaceuticals,94.8392562883483,Outdoor,2.4632814334264026,2.821399111630313,Low,1.2017465203347213,1.502558213665852,Standard,Seasonal,Low,23823.419686146397
5304.0,340.0,,194.02497748420674,Refrigerated,8.815037166254022,2.5384963521306285,High,5.261181298244264,2.813095089954698,Maximum,High Seasonality,Medium,3977.8736368781997
29002.0,257.0,Automotive,49.10549421631147,Outdoor,4.612498432465171,1.7239258621048643,Medium,4.511278806685516,3.1471272194357063,Basic,High Seasonality,Low,
435.0,358.0,Clothing,3325.7549574463715,Outdoor,11.15442805267693,1.7195397349044121,High,3.1766964694205453,2.2382813343298507,Basic,Non-Seasonal,Medium,14697.95428947577
12029.0,103.0,Automotive,825.4936466145696,Outdoor,5.633553891883462,0.781720128639257,High,1.6806231916979966,1.9789819387170282,High,Seasonal,High,5149.797457225489
3309.0,42.0,Food,1774.6957391790831,Outdoor,5.3084043721480745,1.1674266767686987,Medium,1.7182526992718412,1.4429205345100835,Basic,Seasonal,Medium,14317.032246307122
7575.0,231.0,Pharmaceuticals,4461.791753894441,Outdoor,8.250888332763619,2.72158744747445,Medium,3.0410212627375355,4.142683087010048,Standard,Non-Seasonal,High,12946.616002299324
48724.0,37.0,Food,1652.0669905919863,Warehouse,5.5090149702987965,1.8071152372304118,Medium,0.8939503158366527,4.751638239373012,Basic,Non-Seasonal,High,15696.365180195246
16885.0,158.0,Food,4995.0311337966195,Refrigerated,4.35581268620268,1.0360336598707005,Medium,8.964693176931204,1.2266698414981132,Maximum,Seasonal,High,49100.36512035582
37389.0,24.0,Electronics,143.3699838393171,Climate Controlled,5.541611999241806,2.246306263241818,High,8.032261805952995,4.974751289492107,High,Non-Seasonal,,31992.103579832412
27446.0,102.0,Automotive,3692.8331325240038,Climate Controlled,7.734751227256317,1.5502040040126257,High,9.085330756236013,4.2454364165939245,High,High Seasonality,High,34070.7177698201
46251.0,324.0,Automotive,4035.722486799543,Climate Controlled,8.941976421700225,2.4345409794008637,Low,6.474326910553004,2.922037642075455,Standard,Seasonal,High,23257.191710766056
4257.0,,Automotive,1508.9138014203745,Outdoor,10.023807517504085,2.3580922606443577,High,5.970390088881685,3.02547740340266,High,Seasonal,,35948.34083222035
49131.0,25.0,Food,2878.0857612739064,Refrigerated,9.968048225411186,1.6041875056753105,Low,7.3846807944055,,Standard,High Seasonality,Low,49959.77982936967
46993.0,216.0,Pharmaceuticals,4250.277864321104,Outdoor,2.027959954604764,2.2603177009368713,Medium,9.740643053791004,1.8934605116280265,Maximum,Seasonal,High,40458.29443158271
33368.0,256.0,Food,3067.4867170287157,Warehouse,3.0247935344176087,0.832968730784168,Medium,8.241207462334133,0.6115536907929865,Maximum,Seasonal,High,27787.18983242203
23037.0,349.0,Food,237.7599459344359,Outdoor,6.208563378510959,1.75002436684847,Low,2.515883726078948,0.2161428117231658,Maximum,Non-Seasonal,Medium,20776.378210162275
10233.0,24.0,,1186.752531018504,Climate Controlled,7.174812083615889,1.0382050113588641,High,4.653460784919566,,Basic,Non-Seasonal,Low,29934.318324869862
,81.0,Electronics,2420.1118348766877,Refrigerated,2.894890271908305,2.3928410115002574,High,6.342932124224818,4.619471066219091,Standard,High Seasonality,Low,17118.267512462116
30493.0,88.0,Electronics,2470.6731187943647,Warehouse,9.692779791812715,0.9161955062307504,Low,7.975095124181161,4.477145026686529,Maximum,High Seasonality,High,25647.128671813316
,100.0,Electronics,1882.3884758604788,Refrigerated,10.528430612904724,1.6543040086592864,High,1.3163421266603015,3.04181617146545,High,High Seasonality,,6193.339147914556
11126.0,315.0,Electronics,3490.3410702724896,Climate Controlled,8.141169367779849,1.8913812708872983,Low,,0.2943789092601173,Standard,Non-Seasonal,Low,26269.88301014812
49919.0,218.0,Automotive,729.8112287860282,Climate Controlled,10.9410767762078,1.9240164375143003,High,7.862912336502678,2.6286090365617145,High,Non-Seasonal,Medium,47276.49664104491
48295.0,119.0,Electronics,,Refrigerated,11.762396918141729,,High,,1.0822552910148602,Maximum,Non-Seasonal,Low,46278.92395617323
336.0,137.0,Food,838.0550201868599,Refrigerated,3.844363821622749,2.215160011545832,Medium,5.466872957418814,3.9884837233599932,Basic,High Seasonality,High,5042.3314458499235
43104.0,297.0,,1292.5685992680696,Outdoor,11.734809008195432,0.6814302605116971,Medium,1.6656889111639814,3.8120132197975836,Maximum,Non-Seasonal,High,29657.476158649988
7434.0,324.0,,2752.8961090358953,Warehouse,2.8681840457631296,2.2237295743269603,High,4.2820079615558395,2.1145823225711706,Basic,Seasonal,Low,46304.16946849549
23842.0,43.0,Clothing,1470.1432546803876,Outdoor,7.5980942729040635,1.2437296863894696,Medium,5.519025790598992,4.646077431086491,High,High Seasonality,Medium,17438.00495386418
15474.0,20.0,Automotive,2903.433959978991,Climate Controlled,7.070961574493414,2.0563067763074425,High,0.9671492522117935,1.4999234213619013,Basic,Non-Seasonal,High,21729.281015164073
20938.0,317.0,Pharmaceuticals,2324.550897593791,Warehouse,5.360302902252936,2.39208461607959,Low,4.281602953011442,3.7708058873256767,High,Non-Seasonal,Medium,28436.467723420905
,334.0,Automotive,1855.70946495549,Outdoor,4.687170593323396,0.6181727004057473,Low,7.529359586409695,,Basic,Seasonal,Medium,36617.99574970147
24224.0,359.0,Pharmaceuticals,4442.2039582337065,Warehouse,9.60656670194479,1.5562585981924042,High,6.316692953328683,1.826850973734055,,Non-Seasonal,Low,40161.91162958943
6150.0,97.0,Clothing,4131.757492949329,Refrigerated,1.8621701301724147,2.905868472005886,Low,8.86730908481065,0.5666775028656372,High,Non-Seasonal,Medium,4764.450021726751
,201.0,Food,3173.0781439180414,Warehouse,2.282113148084654,2.709584870778955,Low,4.082336526624479,4.533505539240558,High,High Seasonality,Low,31462.78184548884
7337.0,343.0,Clothing,1290.368676098784,Outdoor,4.858027430871221,2.7075198536271663,High,2.402568180812323,2.2912173467454067,Basic,High Seasonality,High,20926.03801735689
16799.0,25.0,Clothing,1087.587238293673,Warehouse,8.15628301256264,2.302512366443464,High,5.793898189662783,0.3239708374344655,High,High Seasonality,High,46314.15511775042
,357.0,,1559.5514562771766,Refrigerated,7.827487751991507,1.1634028105560552,Low,6.125016482741936,,High,Seasonal,Low,8809.024632124809
2873.0,351.0,Automotive,137.700021946468,Climate Controlled,4.382801480601609,2.5047171688339573,High,9.553956284971099,0.30200701427589194,Maximum,Seasonal,Medium,46599.031090036486
19855.0,19.0,Pharmaceuticals,4397.236750947249,Climate Controlled,,0.7410402399734712,Medium,4.922528707064601,2.513670058487707,High,Non-Seasonal,High,25319.815857424757
19509.0,34.0,Automotive,698.4431321360289,Climate Controlled,2.04652718450069,2.1035372435306767,,4.604469677031686,0.4226114155112599,High,Non-Seasonal,Medium,4619.977903725339
34611.0,64.0,Electronics,170.72507896833383,Refrigerated,8.089325824492269,2.1387531215792004,Low,,4.574445705960427,Basic,Seasonal,Low,41519.4323966353
46520.0,38.0,Clothing,2951.45258622442,Refrigerated,6.623584916188439,2.172218863808772,High,7.013219585533341,1.6228476115870298,High,Non-Seasonal,Medium,30901.389645366482
45713.0,70.0,Pharmaceuticals,4522.458712929109,Refrigerated,6.2744550632687615,1.2938167156058662,Low,6.09964336371806,2.892848037412683,High,Seasonal,High,32836.9149109376
23016.0,,Automotive,797.7285173079033,Warehouse,9.319511337177516,0.6348308119060354,Medium,,4.923994701167741,Basic,Non-Seasonal,Low,16217.226854474071
,108.0,Pharmaceuticals,1582.7487602161596,Warehouse,7.014153492441638,2.286212750766345,Medium,2.8287991542174606,1.4369686114680973,High,Seasonal,Medium,36073.74182335561
27327.0,157.0,,2157.9647205540286,Refrigerated,6.302897797674313,2.552502904822586,High,9.206593496533555,3.823749060569035,Basic,Seasonal,,270.75568915231685
31121.0,287.0,Electronics,3686.026014929148,Climate Controlled,,0.8703527551854999,High,1.8829364004086382,0.9437596413823889,Basic,,Low,49634.90231826749
